"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.44986434536059e-05,23,1243,3.31959753842296,"Biosynthesis of secondary metabolites","http://www.genome.jp/kegg-bin/show_pathway?ath01110 "," THA1    APS2  SHM6  UGT74B1  ASB1  SHM7  ALDH3H1  CAS1  CGS1  PYD4  BAM1  TPPF  NYC1  4CLL6  CCD4  TPPG  ISPH  SQE3  GGR  PGD3  AAT1"
0.000182464877315579,5,47,19.085382702404,"Fatty acid degradation","http://www.genome.jp/kegg-bin/show_pathway?ath00071 "," ALDH3H1  CYP704B1  LACS6  LACS7  AAT1"
0.00247618781263544,3,18,29.9004329004329,"Selenocompound metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00450 "," APS2  MGL  CGS1"
0.00911403461476052,4,70,10.2515769944341,"Fatty acid metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath01212 "," FATB  LACS6  LACS7  AAT1"
0.0102058980302614,3,34,15.829640947288,"Pantothenate and CoA biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?ath00770 "," ALDH3H1  PAO2  PAO3"
0.0205464888992949,3,46,11.7001693958216,"Beta-Alanine metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00410 "," ALDH3H1  PAO2  PAO3"
0.0243749611136394,3,52,10.3501498501499,"Valine, leucine and isoleucine degradation","http://www.genome.jp/kegg-bin/show_pathway?ath00280 "," ALDH3H1  PYD4  AAT1"
0.0243749611136394,3,54,9.96681096681097,"Arginine and proline metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00330 "," ALDH3H1  PAO2  PAO3"
0.0276884994355293,3,69,7.80011293054771,"Glycine, serine and threonine metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00260 "," SHM6  SHM7  PYD4"
0.0276884994355293,3,64,8.40949675324675,"Tryptophan metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00380 "," UGT74B1  ALDH3H1  AAT1"
0.0276884994355293,3,68,7.914820473644,"Cyanoamino acid metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00460 "," SHM6  SHM7  "
0.0276884994355293,2,21,17.0859616573902,"One carbon pool by folate","http://www.genome.jp/kegg-bin/show_pathway?ath00670 "," SHM6  SHM7"
0.0276884994355293,3,60,8.97012987012987,"Terpenoid backbone biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?ath00900 "," ISPH  GGR  AAT1"
0.0276884994355293,6,286,3.76369085459995,"Plant hormone signal transduction","http://www.genome.jp/kegg-bin/show_pathway?ath04075 "," TIFY10A  GH3.1  EIN3  ASK7  SAUR24  IAA4"
0.0349341611349513,3,77,6.98971158711418,"Glyoxylate and dicarboxylate metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00630 "," SHM6  SHM7  AAT1"
0.0401828317243861,5,240,3.73755411255411,"Biosynthesis of amino acids","http://www.genome.jp/kegg-bin/show_pathway?ath01230 "," THA1  SHM6  ASB1  SHM7  CGS1"
0.0432921402888403,2,31,11.5743611227482,"Lysine degradation","http://www.genome.jp/kegg-bin/show_pathway?ath00310 "," ALDH3H1  AAT1"
0.0544004085846592,2,36,9.96681096681097,"Steroid biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?ath00100 "," CAS1  SQE3"
0.059963190083162,2,39,9.2001332001332,"Circadian rhythm","http://www.genome.jp/kegg-bin/show_pathway?ath04712 "," ELF3  APRR5"
0.0622027915068644,2,43,8.34430685593476,"Fatty acid biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?ath00061 "," LACS6  LACS7"
0.0622027915068644,2,43,8.34430685593476,"Nitrogen metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00910 "," NRT2.1  NIR1"
0.0622027915068644,2,42,8.54298082869512,"Sulfur metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00920 "," APS2  CGS1"
0.0736270931367918,3,120,4.48506493506494,"Cysteine and methionine metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00270 "," MGL  CGS1  PYD4"
0.0752050544745951,2,51,7.03539597657245,"Alanine, aspartate and glutamate metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00250 "," PYD4  "
0.0752050544745951,1,6,29.9004329004329,"Limonene and pinene degradation","http://www.genome.jp/kegg-bin/show_pathway?ath00903 "," ALDH3H1"
0.11511702007563,2,66,5.43644234553325,"Glycerolipid metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00561 "," ALDH3H1  MGD2"
0.135367240682059,4,269,2.66769661565201,"Carbon metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath01200 "," SHM6  SHM7  PGD3  AAT1"
0.138261938992397,3,168,3.20361781076067,"Starch and sucrose metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00500 "," BAM1  TPPF  TPPG"
0.147980959453325,1,14,12.8144712430427,"Monobactam biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?ath00261 "," APS2"
0.160174728842487,3,187,2.87811653587055,"Spliceosome","http://www.genome.jp/kegg-bin/show_pathway?ath03040 "," SR30  SR34A  SR34b"
0.160174728842487,2,87,4.12419764143902,"Peroxisome","http://www.genome.jp/kegg-bin/show_pathway?ath04146 "," LACS6  LACS7"
0.170547143296271,1,18,9.96681096681097,"Histidine metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00340 "," ALDH3H1"
0.171198747708574,1,19,9.44224196855776,"Other glycan degradation","http://www.genome.jp/kegg-bin/show_pathway?ath00511 "," FUC95A"
0.171198747708574,2,97,3.69902262685768,"Pyruvate metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00620 "," ALDH3H1  AAT1"
0.191086233884168,2,106,3.38495466797354,"Pentose and glucuronate interconversions","http://www.genome.jp/kegg-bin/show_pathway?ath00040 "," PME21  PME58"
0.191086233884168,1,23,7.80011293054771,"Sesquiterpenoid and triterpenoid biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?ath00909 "," SQE3"
